order,family,style,track_hash,source_team,source_episode,source_seat,source_reward,source_deck_sha256,local_agent_path,card_count,deck_copy_status,policy_status,win_plan_status
1,archaludon_metal,Shumpei current 54588240,4e2473ad9c24dbbab8888c5326e6679ef0e89157e6312457256ebc8346bdc574,ShumpeiNomura,85023210,0,-1,bcd6a62ee94ecd538ca2eb25e5707430eea3cb0b8f118c883da54acd81de2779,meta_agents/archaludon_shumpei_current_v6_marniebenchguard,60,exact,v6_seeded_ready_after_v3_live_failed,partial
2,alakazam_psychic,major variant A,2fb3a358e03c652bf2b6259ad0d47137116c599122d28d116799eb54c4150a3c,OSELCOUN,85035844,0,1,2cdddc6933305555b7280b32da402cab795e89890dbdabd5ca2fee420e9a654d,meta_agents/alakazam_oselcoun_live_85035844_simple,60,exact,v3_seeded_rejected,partial
3,alakazam_psychic,major variant B,57050d2022e1a26f26930314459d130e8733d58795e72761f0b87d6f89bb4a1a,Rmy,85082271,0,1,6513d991d250699d93887ddeb0cbdbd85feb912d6f4793d8affcd8753ba037bd,meta_agents/alakazam_rmy_live_85082271_simple,60,exact,simple_only,missing
4,kangaskhan_crustle,MPGaming,90afb5a7dd6805ba5fdd048b227e0fdcbe7dc8516b2ba5016568461210df8be9,MPGaming,85023197,1,1,ed9cdddb866dbaf9add2600e04edcdc30b7679a623ec2fa1cd13b55d4ce545bf,meta_agents/kangaskhan_crustle_mpgaming_v13_backupkang_two_growline,60,exact,v13_proactive_ready,measured_v2
5,cynthia_garchomp,nasuo445,1106a5674391397fb0f624f842d2e22261ef41a7af102a3b4e4e3fd58546a878,nasuo445,85023194,0,1,c708d7353d8214b98950fc063edc32ecc721b6c7ee1921c2d15282a20edaa4ff,meta_agents/cynthia_garchomp_nasuo445_v80_legal_complete_role_cycle,60,exact,v80_legal_complete_role_cycle_selected,measured_v80
6,marnie_grimmsnarl,Sota Uchiyama,e66f89f69b534f9923139877e1d1089e25a3d77a36630506acba7ea5ee2ba41d,Sota Uchiyama,85033057,0,1,905d3a3bf79b3ca8e745fa407c30d23964e8c9dc14d753c3df7c3e34836144f7,meta_agents/marnie_sota_live_85033057_simple,60,exact,simple_only,missing
7,marnie_grimmsnarl,Gonsaku,e6b3dd205d1c862f7ebe731b9040e8382e57000507ba3f1bee2a47b7c2e3daf9,ごんさくよねきち,85034863,1,1,6c4a9cd54893d28e5bcb59486a9df1a0f3481603953a2c0be584b13cb620a4ff,meta_agents/marnie_gonsaku_live_85034863_simple,60,exact,simple_only,missing
8,marnie_grimmsnarl,Kazuki,d256df2c0c2b0008d003b467538b4f9a688d61a858c040f16b8aa5664fa072a9,kazuki0123,85083586,1,1,13c1ed38a6e365b5ffe0f7adb7715196cc0e300c57a56f1a1d7d3edfa684708e,meta_agents/marnie_kazuki_live_85083586_simple,60,exact,simple_only,missing
9,marnie_grimmsnarl,tw_shin,bd7cf5a519f27cf276f9c6aec17d916b653d5d229866487a00a3f6585d385a9e,tw_shin,85023265,1,-1,c907ea3f7771c4dac5fc94ef97c012ffc2198d6bdff7fb222dcc550b251b2e9d,meta_agents/marnie_tw_shin_gold_85023265_simple,60,exact,simple_only,missing
10,okidogi_barbaracle,btk15049,bcd9a7fb5655ef37ce50108c53ce0918848a01e002f6d61f329909af0e42bb8b,btk15049,85023210,1,1,e7d24f99ecc4d3e1cfcb04c8ffaaed7c74b72353c4af84bb28ceae95a7598bbc,meta_agents/ogerpon_btk15049_84743052_simple,60,exact,simple_only,missing
11,kangaskhan_crustle,Alberto Bonsanto,7c1af5a04dee97680b6448337595eae4839c972148cc8da87d7d8b10fa4243d6,Alberto Bonsanto,85023265,0,1,a13396cb9f4d3aab9d46f80e814da0957258af8ee387c86be96d8af4859e42ae,meta_agents/great_tusk_bono_junlee_84743036_simple,60,exact,simple_only,missing
12,alakazam_psychic,Michael Long,77feb703512d5e6286f7a7cff8453f98021a2cd57d0f597a818f18a24db30de6,Michael Long,85023170,0,1,353d86dea6471a99e8da3acb85728a789eac358f8cc64bdbf9e5b654b523620b,meta_agents/alakazam_michael_long_gold_85023170_simple,60,exact,simple_only,missing
13,alakazam_psychic,THIRD PTCG A,889dfdc6bf51e10450308966719a75d21023130d6c10b5a45aee1a8948290a33,THIRD PTCG Club,85023197,0,-1,0f7bba052bfd135e22b28071eb007c5c8aeecf645626d551a0314ca13ddfdb77,meta_agents/alakazam_third_ptcg_84743063_simple,60,exact,simple_only,missing
14,alakazam_psychic,THIRD PTCG B,9c77ed610552d734f4fe329de20cb447a625a858bb0f416009c81755ce41edf0,THIRD PTCG Club,85023213,0,1,1103d5bbbb0119a56824f95a6db3b2b788351fe644bf4f0ad98d0c58ff35be7a,meta_agents/alakazam_third_ptcg_B_gold_85023213_simple,60,exact,simple_only,missing
15,alakazam_psychic,capbloo,edc3cef70e22e7c84f3d5212e0d4746645c2c035fcbbd4bc27ebb9d1c8d3792d,capbloo,85357128,0,1,cbd48f8e2d817e86fb4cfd44724873071a0af5f17da8f875807bb0c41794d4e1,meta_agents/alakazam_capbloo_gold_85357128_simple,60,exact,simple_only,missing
16,archaludon_metal,Shumpei catalog,4e2473ad9c24dbbab8888c5326e6679ef0e89157e6312457256ebc8346bdc574,ShumpeiNomura,85023210,0,-1,bcd6a62ee94ecd538ca2eb25e5707430eea3cb0b8f118c883da54acd81de2779,meta_agents/archaludon_shumpei_catalog_gold_85023210_simple,60,exact,simple_only,partial
