seed_base,opponent,seat,game,seed,baseline_result,candidate_result,baseline_win,candidate_win,baseline_steps,candidate_steps
271958313,arch_peak,0,0,271958313,1,1,0,0,147,147
271958313,arch_peak,0,1,271958314,1,1,0,0,135,135
271958313,arch_peak,0,2,271958315,0,0,1,1,127,127
271958313,arch_peak,0,3,271958316,1,1,0,0,142,142
271958313,arch_peak,0,4,271958317,1,1,0,0,134,134
271958313,arch_peak,0,5,271958318,0,0,1,1,133,130
271958313,arch_peak,0,6,271958319,0,0,1,1,134,134
271958313,arch_peak,0,7,271958320,0,0,1,1,125,125
271958313,arch_peak,0,8,271958321,1,1,0,0,138,138
271958313,arch_peak,0,9,271958322,1,1,0,0,130,130
271958313,arch_peak,0,10,271958323,1,1,0,0,73,73
271958313,arch_peak,0,11,271958324,0,0,1,1,102,102
271958313,arch_peak,0,12,271958325,1,1,0,0,147,147
271958313,arch_peak,0,13,271958326,1,1,0,0,70,70
271958313,arch_peak,0,14,271958327,1,1,0,0,37,37
271958313,arch_peak,0,15,271958328,1,1,0,0,59,59
271958313,arch_peak,0,16,271958329,1,1,0,0,160,160
271958313,arch_peak,0,17,271958330,1,1,0,0,142,142
271958313,arch_peak,0,18,271958331,0,0,1,1,145,144
271958313,arch_peak,0,19,271958332,1,1,0,0,120,120
271958313,arch_peak,0,20,271958333,0,0,1,1,146,146
271958313,arch_peak,0,21,271958334,0,0,1,1,126,126
271958313,arch_peak,0,22,271958335,1,1,0,0,150,150
271958313,arch_peak,0,23,271958336,0,0,1,1,142,142
271958313,arch_peak,0,24,271958337,1,1,0,0,141,141
271958313,arch_peak,0,25,271958338,0,0,1,1,148,148
271958313,arch_peak,0,26,271958339,0,0,1,1,91,91
271958313,arch_peak,0,27,271958340,0,0,1,1,68,68
271958313,arch_peak,0,28,271958341,0,0,1,1,157,157
271958313,arch_peak,0,29,271958342,0,0,1,1,136,133
271958313,arch_peak,0,30,271958343,0,0,1,1,145,139
271958313,arch_peak,0,31,271958344,1,1,0,0,124,124
271958313,arch_peak,0,32,271958345,0,0,1,1,138,138
271958313,arch_peak,0,33,271958346,1,1,0,0,25,25
271958313,arch_peak,0,34,271958347,1,1,0,0,148,148
271958313,arch_peak,0,35,271958348,1,1,0,0,135,135
271958313,arch_peak,0,36,271958349,0,0,1,1,131,131
271958313,arch_peak,0,37,271958350,0,0,1,1,89,89
271958313,arch_peak,0,38,271958351,1,1,0,0,141,141
271958313,arch_peak,0,39,271958352,0,0,1,1,84,84
271958313,arch_peak,1,0,271958313,1,1,1,1,147,145
271958313,arch_peak,1,1,271958314,1,1,1,1,135,135
