seed_base,opponent,seat,game,seed,baseline_result,candidate_result,baseline_win,candidate_win,baseline_steps,candidate_steps
271828182,historical_silver,0,0,271828182,0,0,1,1,136,136
271828182,historical_silver,0,1,271828183,1,1,0,0,85,85
271828182,historical_silver,0,2,271828184,0,0,1,1,139,132
271828182,historical_silver,0,3,271828185,0,0,1,1,153,152
271828182,historical_silver,0,4,271828186,0,0,1,1,144,138
271828182,historical_silver,0,5,271828187,0,0,1,1,122,116
271828182,historical_silver,0,6,271828188,1,1,0,0,147,147
271828182,historical_silver,0,7,271828189,0,0,1,1,121,121
271828182,historical_silver,0,8,271828190,1,1,0,0,100,100
271828182,historical_silver,0,9,271828191,1,1,0,0,153,153
271828182,historical_silver,0,10,271828192,1,1,0,0,78,78
271828182,historical_silver,0,11,271828193,1,1,0,0,159,159
271828182,historical_silver,0,12,271828194,1,1,0,0,130,130
271828182,historical_silver,0,13,271828195,0,0,1,1,133,133
271828182,historical_silver,0,14,271828196,0,0,1,1,61,61
271828182,historical_silver,0,15,271828197,0,0,1,1,133,133
271828182,historical_silver,0,16,271828198,0,0,1,1,106,105
271828182,historical_silver,0,17,271828199,1,1,0,0,126,126
271828182,historical_silver,0,18,271828200,1,1,0,0,73,73
271828182,historical_silver,0,19,271828201,0,0,1,1,129,126
271828182,historical_silver,0,20,271828202,1,1,0,0,32,32
271828182,historical_silver,0,21,271828203,0,0,1,1,132,124
271828182,historical_silver,0,22,271828204,1,1,0,0,84,84
271828182,historical_silver,0,23,271828205,0,0,1,1,58,58
271828182,historical_silver,0,24,271828206,0,0,1,1,133,124
271828182,historical_silver,0,25,271828207,1,1,0,0,148,148
271828182,historical_silver,0,26,271828208,1,1,0,0,101,101
271828182,historical_silver,0,27,271828209,0,0,1,1,49,49
271828182,historical_silver,0,28,271828210,0,0,1,1,136,135
271828182,historical_silver,0,29,271828211,0,0,1,1,139,135
271828182,historical_silver,0,30,271828212,1,1,0,0,149,149
271828182,historical_silver,0,31,271828213,0,0,1,1,78,78
271828182,historical_silver,0,32,271828214,1,1,0,0,132,132
271828182,historical_silver,0,33,271828215,0,0,1,1,154,150
271828182,historical_silver,0,34,271828216,0,0,1,1,133,132
271828182,historical_silver,0,35,271828217,1,1,0,0,152,152
271828182,historical_silver,0,36,271828218,0,0,1,1,151,143
271828182,historical_silver,0,37,271828219,0,0,1,1,125,123
271828182,historical_silver,0,38,271828220,1,1,0,0,146,146
271828182,historical_silver,0,39,271828221,1,1,0,0,51,51
271828182,historical_silver,0,40,271828222,0,0,1,1,147,147
271828182,historical_silver,0,41,271828223,1,1,0,0,109,109
271828182,historical_silver,0,42,271828224,0,0,1,1,156,155
271828182,historical_silver,0,43,271828225,1,1,0,0,131,131
271828182,historical_silver,0,44,271828226,0,0,1,1,118,118
271828182,historical_silver,0,45,271828227,1,1,0,0,159,159
271828182,historical_silver,0,46,271828228,0,0,1,1,116,116
271828182,historical_silver,0,47,271828229,1,1,0,0,135,135
271828182,historical_silver,0,48,271828230,0,0,1,1,75,75
271828182,historical_silver,0,49,271828231,1,1,0,0,113,113
271828182,historical_silver,0,50,271828232,1,1,0,0,148,148
271828182,historical_silver,0,51,271828233,0,0,1,1,151,149
271828182,historical_silver,0,52,271828234,1,1,0,0,148,148
271828182,historical_silver,0,53,271828235,0,0,1,1,81,81
271828182,historical_silver,0,54,271828236,0,0,1,1,29,29
271828182,historical_silver,0,55,271828237,0,0,1,1,124,123
271828182,historical_silver,0,56,271828238,0,0,1,1,145,136
271828182,historical_silver,0,57,271828239,0,0,1,1,145,143
271828182,historical_silver,0,58,271828240,0,0,1,1,129,127
271828182,historical_silver,0,59,271828241,0,0,1,1,71,71
271828182,historical_silver,0,60,271828242,1,1,0,0,115,115
271828182,historical_silver,0,61,271828243,0,0,1,1,128,126
271828182,historical_silver,0,62,271828244,1,1,0,0,146,146
271828182,historical_silver,0,63,271828245,1,1,0,0,110,110
271828182,historical_silver,0,64,271828246,0,0,1,1,151,151
271828182,historical_silver,0,65,271828247,0,0,1,1,63,63
271828182,historical_silver,0,66,271828248,0,0,1,1,107,103
271828182,historical_silver,0,67,271828249,1,1,0,0,134,134
271828182,historical_silver,0,68,271828250,0,0,1,1,111,111
271828182,historical_silver,0,69,271828251,1,1,0,0,146,146
271828182,historical_silver,0,70,271828252,1,1,0,0,27,27
271828182,historical_silver,0,71,271828253,0,0,1,1,170,170
271828182,historical_silver,0,72,271828254,0,0,1,1,31,31
271828182,historical_silver,0,73,271828255,1,1,0,0,115,115
271828182,historical_silver,0,74,271828256,0,0,1,1,150,145
271828182,historical_silver,0,75,271828257,0,0,1,1,77,77
271828182,historical_silver,0,76,271828258,1,1,0,0,72,72
271828182,historical_silver,0,77,271828259,1,1,0,0,134,134
271828182,historical_silver,0,78,271828260,0,0,1,1,53,53
271828182,historical_silver,0,79,271828261,0,0,1,1,169,162
271828182,historical_silver,0,80,271828262,0,0,1,1,152,152
271828182,historical_silver,0,81,271828263,0,0,1,1,147,144
271828182,historical_silver,0,82,271828264,1,1,0,0,140,140
271828182,historical_silver,0,83,271828265,1,1,0,0,107,107
271828182,historical_silver,0,84,271828266,1,1,0,0,162,162
271828182,historical_silver,0,85,271828267,0,0,1,1,117,117
271828182,historical_silver,0,86,271828268,1,1,0,0,141,141
271828182,historical_silver,0,87,271828269,1,1,0,0,99,99
271828182,historical_silver,0,88,271828270,0,0,1,1,115,115
271828182,historical_silver,0,89,271828271,0,0,1,1,147,146
271828182,historical_silver,0,90,271828272,0,0,1,1,128,128
271828182,historical_silver,0,91,271828273,0,0,1,1,152,141
271828182,historical_silver,0,92,271828274,1,1,0,0,127,127
271828182,historical_silver,0,93,271828275,0,0,1,1,85,85
271828182,historical_silver,0,94,271828276,0,0,1,1,72,72
271828182,historical_silver,0,95,271828277,1,1,0,0,161,161
271828182,historical_silver,0,96,271828278,0,0,1,1,118,115
271828182,historical_silver,0,97,271828279,1,1,0,0,143,143
271828182,historical_silver,0,98,271828280,0,0,1,1,129,129
271828182,historical_silver,0,99,271828281,0,0,1,1,145,144
271828182,historical_silver,1,0,271828182,0,0,0,0,136,136
271828182,historical_silver,1,1,271828183,1,1,1,1,85,85
271828182,historical_silver,1,2,271828184,0,0,0,0,139,139
271828182,historical_silver,1,3,271828185,0,0,0,0,153,153
271828182,historical_silver,1,4,271828186,0,0,0,0,144,144
271828182,historical_silver,1,5,271828187,0,0,0,0,122,122
271828182,historical_silver,1,6,271828188,1,1,1,1,147,144
271828182,historical_silver,1,7,271828189,0,0,0,0,121,121
271828182,historical_silver,1,8,271828190,1,1,1,1,100,98
271828182,historical_silver,1,9,271828191,1,1,1,1,153,153
271828182,historical_silver,1,10,271828192,1,1,1,1,78,76
271828182,historical_silver,1,11,271828193,1,1,1,1,159,158
271828182,historical_silver,1,12,271828194,1,1,1,1,130,130
271828182,historical_silver,1,13,271828195,0,0,0,0,133,133
271828182,historical_silver,1,14,271828196,0,0,0,0,61,61
271828182,historical_silver,1,15,271828197,0,0,0,0,133,133
271828182,historical_silver,1,16,271828198,0,0,0,0,106,106
271828182,historical_silver,1,17,271828199,1,1,1,1,126,120
271828182,historical_silver,1,18,271828200,1,1,1,1,73,73
271828182,historical_silver,1,19,271828201,0,0,0,0,129,129
271828182,historical_silver,1,20,271828202,1,1,1,1,32,32
271828182,historical_silver,1,21,271828203,0,0,0,0,132,132
271828182,historical_silver,1,22,271828204,1,1,1,1,84,84
271828182,historical_silver,1,23,271828205,0,0,0,0,58,58
271828182,historical_silver,1,24,271828206,0,0,0,0,133,133
271828182,historical_silver,1,25,271828207,1,1,1,1,148,147
271828182,historical_silver,1,26,271828208,1,1,1,1,101,101
271828182,historical_silver,1,27,271828209,0,0,0,0,49,49
271828182,historical_silver,1,28,271828210,0,0,0,0,136,136
271828182,historical_silver,1,29,271828211,0,0,0,0,139,139
271828182,historical_silver,1,30,271828212,1,1,1,1,149,149
271828182,historical_silver,1,31,271828213,0,0,0,0,78,78
271828182,historical_silver,1,32,271828214,1,1,1,1,132,132
271828182,historical_silver,1,33,271828215,0,0,0,0,154,154
271828182,historical_silver,1,34,271828216,0,0,0,0,133,133
271828182,historical_silver,1,35,271828217,1,1,1,1,152,145
271828182,historical_silver,1,36,271828218,0,0,0,0,151,151
271828182,historical_silver,1,37,271828219,0,0,0,0,125,125
271828182,historical_silver,1,38,271828220,1,1,1,1,146,145
271828182,historical_silver,1,39,271828221,1,1,1,1,51,51
271828182,historical_silver,1,40,271828222,0,0,0,0,147,147
271828182,historical_silver,1,41,271828223,1,1,1,1,109,102
271828182,historical_silver,1,42,271828224,0,0,0,0,156,156
271828182,historical_silver,1,43,271828225,1,1,1,1,131,131
271828182,historical_silver,1,44,271828226,0,0,0,0,118,118
271828182,historical_silver,1,45,271828227,1,1,1,1,159,159
271828182,historical_silver,1,46,271828228,0,0,0,0,116,116
271828182,historical_silver,1,47,271828229,1,1,1,1,135,135
271828182,historical_silver,1,48,271828230,0,0,0,0,75,75
271828182,historical_silver,1,49,271828231,1,1,1,1,113,110
271828182,historical_silver,1,50,271828232,1,1,1,1,148,142
271828182,historical_silver,1,51,271828233,0,0,0,0,151,151
271828182,historical_silver,1,52,271828234,1,1,1,1,148,144
271828182,historical_silver,1,53,271828235,0,0,0,0,81,81
271828182,historical_silver,1,54,271828236,0,0,0,0,29,29
271828182,historical_silver,1,55,271828237,0,0,0,0,124,124
271828182,historical_silver,1,56,271828238,0,0,0,0,145,145
271828182,historical_silver,1,57,271828239,0,0,0,0,145,145
271828182,historical_silver,1,58,271828240,0,0,0,0,129,129
271828182,historical_silver,1,59,271828241,0,0,0,0,71,71
271828182,historical_silver,1,60,271828242,1,1,1,1,115,115
271828182,historical_silver,1,61,271828243,0,0,0,0,128,128
271828182,historical_silver,1,62,271828244,1,1,1,1,146,141
271828182,historical_silver,1,63,271828245,1,1,1,1,110,110
271828182,historical_silver,1,64,271828246,0,0,0,0,151,151
271828182,historical_silver,1,65,271828247,0,0,0,0,63,63
271828182,historical_silver,1,66,271828248,0,0,0,0,107,107
271828182,historical_silver,1,67,271828249,1,1,1,1,134,134
271828182,historical_silver,1,68,271828250,0,0,0,0,111,111
271828182,historical_silver,1,69,271828251,1,1,1,1,146,146
271828182,historical_silver,1,70,271828252,1,1,1,1,27,27
271828182,historical_silver,1,71,271828253,0,0,0,0,170,170
271828182,historical_silver,1,72,271828254,0,0,0,0,31,31
271828182,historical_silver,1,73,271828255,1,1,1,1,115,115
271828182,historical_silver,1,74,271828256,0,0,0,0,150,150
271828182,historical_silver,1,75,271828257,0,0,0,0,77,77
271828182,historical_silver,1,76,271828258,1,1,1,1,72,72
271828182,historical_silver,1,77,271828259,1,1,1,1,134,129
271828182,historical_silver,1,78,271828260,0,0,0,0,53,53
271828182,historical_silver,1,79,271828261,0,0,0,0,169,169
271828182,historical_silver,1,80,271828262,0,0,0,0,152,152
271828182,historical_silver,1,81,271828263,0,0,0,0,147,147
271828182,historical_silver,1,82,271828264,1,1,1,1,140,140
271828182,historical_silver,1,83,271828265,1,1,1,1,107,103
271828182,historical_silver,1,84,271828266,1,1,1,1,162,162
271828182,historical_silver,1,85,271828267,0,0,0,0,117,117
271828182,historical_silver,1,86,271828268,1,1,1,1,141,141
271828182,historical_silver,1,87,271828269,1,1,1,1,99,98
271828182,historical_silver,1,88,271828270,0,0,0,0,115,115
271828182,historical_silver,1,89,271828271,0,0,0,0,147,147
271828182,historical_silver,1,90,271828272,0,0,0,0,128,128
271828182,historical_silver,1,91,271828273,0,0,0,0,152,152
271828182,historical_silver,1,92,271828274,1,1,1,1,127,120
271828182,historical_silver,1,93,271828275,0,0,0,0,85,85
271828182,historical_silver,1,94,271828276,0,0,0,0,72,72
271828182,historical_silver,1,95,271828277,1,1,1,1,161,152
271828182,historical_silver,1,96,271828278,0,0,0,0,118,118
271828182,historical_silver,1,97,271828279,1,1,1,1,143,137
271828182,historical_silver,1,98,271828280,0,0,0,0,129,129
271828182,historical_silver,1,99,271828281,0,0,0,0,145,145
