seat,game,diverged,kind,row,step,player,stadium_id,target_id,target_hp,baseline_action,candidate_action,baseline_reason,candidate_reason,baseline_option,candidate_option
0,game_0000,True,action,126,126,0,1244,342,130,[1],[6],play item,terminal conversion,"{""index"":4,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0001,True,action,99,99,0,1261,381,110,[6],[7],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":1,""index"":6,""type"":8}","{""attackId"":253,""type"":13}"
0,game_0002,True,action,87,87,0,1244,380,100,[7],[8],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":2,""index"":4,""type"":8}","{""attackId"":253,""type"":13}"
0,game_0003,True,action,113,113,0,1244,342,130,[7],[10],play Explorer,terminal conversion,"{""index"":6,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0004,False,,,,,,,,,,,,,
0,game_0005,False,,,,,,,,,,,,,
0,game_0006,False,,,,,,,,,,,,,
0,game_0007,False,,,,,,,,,,,,,
0,game_0008,True,action,110,110,0,1261,341,70,[3],[4],play Full Metal Lab,terminal conversion,"{""index"":6,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0009,False,,,,,,,,,,,,,
0,game_0010,False,,,,,,,,,,,,,
0,game_0011,False,,,,,,,,,,,,,
0,game_0012,True,action,106,106,0,1244,381,180,[3],[4],play item,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0013,False,,,,,,,,,,,,,
0,game_0014,True,action,104,104,0,1261,380,100,[5],[7],play Full Metal Lab,terminal conversion,"{""index"":1,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0015,False,,,,,,,,,,,,,
0,game_0016,False,,,,,,,,,,,,,
0,game_0017,True,action,121,121,0,1244,342,130,[6],[12],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":1,""index"":4,""type"":8}","{""attackId"":253,""type"":13}"
0,game_0018,True,action,135,135,0,1244,381,180,[4],[5],play item,terminal conversion,"{""index"":3,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0019,False,,,,,,,,,,,,,
0,game_0020,False,,,,,,,,,,,,,
0,game_0021,True,action,93,93,0,1261,342,130,[12],[21],play Full Metal Lab,terminal conversion,"{""index"":6,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0022,True,action,96,96,0,1244,381,180,[8],[14],play Explorer,terminal conversion,"{""index"":4,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0023,False,,,,,,,,,,,,,
0,game_0024,False,,,,,,,,,,,,,
0,game_0025,True,action,129,129,0,1261,381,110,[0],[5],play item,terminal conversion,"{""index"":0,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0026,True,action,110,110,0,1244,342,130,[0],[10],Ultra Ball: search line,terminal conversion,"{""index"":0,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0027,True,action,122,122,0,1244,381,60,[2],[3],play item,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0028,False,,,,,,,,,,,,,
0,game_0029,True,action,136,136,0,1244,342,130,[4],[6],play Pokemon,terminal conversion,"{""index"":6,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0030,True,action,84,84,0,1244,381,180,[9],[10],play item,terminal conversion,"{""index"":9,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0031,True,action,117,117,0,1244,381,180,[3],[5],play Explorer,terminal conversion,"{""index"":3,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0032,False,,,,,,,,,,,,,
0,game_0033,False,,,,,,,,,,,,,
0,game_0034,True,action,141,141,0,1261,342,130,[2],[3],evolve Bench Duraludon,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":1,""index"":5,""type"":9}","{""attackId"":253,""type"":13}"
0,game_0035,True,action,128,128,0,1261,381,180,[0],[7],evolve Bench Duraludon,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":0,""type"":9}","{""attackId"":253,""type"":13}"
0,game_0036,True,action,115,115,0,1244,381,110,[0],[7],play Explorer,terminal conversion,"{""index"":1,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0037,True,action,147,147,0,1244,381,180,[2],[4],play item,terminal conversion,"{""index"":3,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0038,True,action,99,99,0,1244,379,70,[12],[14],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":2,""index"":6,""type"":8}","{""attackId"":253,""type"":13}"
0,game_0039,False,,,,,,,,,,,,,
