seat,game,diverged,kind,row,step,player,stadium_id,target_id,target_hp,baseline_action,candidate_action,baseline_reason,candidate_reason,baseline_option,candidate_option
1,game_0000,True,action,127,127,1,1244,104,40,[5],[7],play Full Metal Lab,terminal conversion,"{""index"":7,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0001,False,,,,,,,,,,,,,
1,game_0002,False,,,,,,,,,,,,,
1,game_0003,False,,,,,,,,,,,,,
1,game_0004,False,,,,,,,,,,,,,
1,game_0005,True,action,88,88,1,1244,648,100,[0],[4],play item,terminal conversion,"{""index"":0,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0006,True,action,134,134,1,1244,647,100,[7],[10],play item,terminal conversion,"{""index"":7,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0007,False,,,,,,,,,,,,,
1,game_0008,False,,,,,,,,,,,,,
1,game_0009,True,action,128,128,1,1244,648,100,[2],[3],Ultra Ball: bench empty (donk risk),terminal conversion,"{""index"":3,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0010,False,,,,,,,,,,,,,
1,game_0011,False,,,,,,,,,,,,,
1,game_0012,False,,,,,,,,,,,,,
1,game_0013,False,,,,,,,,,,,,,
1,game_0014,False,,,,,,,,,,,,,
1,game_0015,True,action,143,143,1,1244,648,90,[6],[9],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":1,""index"":3,""type"":8}","{""attackId"":253,""type"":13}"
1,game_0016,True,action,115,115,1,1244,648,90,[0],[7],play item,terminal conversion,"{""index"":0,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0017,False,,,,,,,,,,,,,
1,game_0018,True,action,149,149,1,,648,100,[0],[4],Hero's Cape on Archaludon ex,terminal conversion,"{""area"":2,""inPlayArea"":4,""inPlayIndex"":0,""index"":1,""type"":8}","{""attackId"":253,""type"":13}"
1,game_0019,False,,,,,,,,,,,,,
1,game_0020,False,,,,,,,,,,,,,
1,game_0021,False,,,,,,,,,,,,,
1,game_0022,False,,,,,,,,,,,,,
1,game_0023,False,,,,,,,,,,,,,
1,game_0024,False,,,,,,,,,,,,,
1,game_0025,True,action,112,112,1,1244,112,80,[4],[6],play item,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0026,False,,,,,,,,,,,,,
1,game_0027,True,action,131,131,1,1244,648,40,[6],[13],evolve Bench Duraludon,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":4,""type"":9}","{""attackId"":253,""type"":13}"
1,game_0028,True,action,134,134,1,1244,648,100,[4],[5],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":4,""type"":8}","{""attackId"":253,""type"":13}"
1,game_0029,False,,,,,,,,,,,,,
1,game_0030,True,action,131,131,1,1244,112,100,[7],[9],evolve Bench Duraludon,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":1,""index"":9,""type"":9}","{""attackId"":253,""type"":13}"
1,game_0031,False,,,,,,,,,,,,,
1,game_0032,False,,,,,,,,,,,,,
1,game_0033,False,,,,,,,,,,,,,
1,game_0034,False,,,,,,,,,,,,,
1,game_0035,True,action,142,142,1,,104,90,[0],[5],play item,terminal conversion,"{""index"":3,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0036,True,action,110,110,1,1244,860,70,[5],[7],Ultra Ball: fuel Alloy,terminal conversion,"{""index"":8,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0037,True,action,139,139,1,1244,648,90,[6],[7],play item,terminal conversion,"{""index"":6,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0038,False,,,,,,,,,,,,,
1,game_0039,False,,,,,,,,,,,,,
