seat,game,diverged,kind,row,step,player,stadium_id,target_id,target_hp,baseline_action,candidate_action,baseline_reason,candidate_reason,baseline_option,candidate_option
1,game_0000,False,,,,,,,,,,,,,
1,game_0001,True,action,162,162,1,1261,381,180,[1],[3],play item,terminal conversion,"{""index"":1,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0002,False,,,,,,,,,,,,,
1,game_0003,False,,,,,,,,,,,,,
1,game_0004,True,action,149,149,1,1261,342,130,[3],[4],play Pokemon,terminal conversion,"{""index"":3,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0005,False,,,,,,,,,,,,,
1,game_0006,False,,,,,,,,,,,,,
1,game_0007,False,,,,,,,,,,,,,
1,game_0008,False,,,,,,,,,,,,,
1,game_0009,True,action,97,97,1,1244,380,170,[4],[11],Ultra Ball: fuel Alloy,terminal conversion,"{""index"":4,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0010,True,action,120,120,1,1244,342,130,[3],[4],play Pokemon,terminal conversion,"{""index"":7,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0011,True,action,130,130,1,1244,380,100,[7],[11],Hero's Cape on Archaludon ex,terminal conversion,"{""area"":2,""inPlayArea"":4,""inPlayIndex"":0,""index"":9,""type"":8}","{""attackId"":253,""type"":13}"
1,game_0012,True,action,119,119,1,,381,180,[0],[4],play Lillie,terminal conversion,"{""index"":0,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0013,False,,,,,,,,,,,,,
1,game_0014,False,,,,,,,,,,,,,
1,game_0015,False,,,,,,,,,,,,,
1,game_0016,False,,,,,,,,,,,,,
1,game_0017,False,,,,,,,,,,,,,
1,game_0018,True,action,107,107,1,,387,70,[1],[6],Hero's Cape on Archaludon ex,terminal conversion,"{""area"":2,""inPlayArea"":4,""inPlayIndex"":0,""index"":2,""type"":8}","{""attackId"":253,""type"":13}"
1,game_0019,False,,,,,,,,,,,,,
1,game_0020,True,action,121,121,1,1261,341,70,[0],[1],play item,terminal conversion,"{""index"":3,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0021,False,,,,,,,,,,,,,
1,game_0022,True,action,147,147,1,1244,341,70,[1],[8],play item,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0023,True,action,173,173,1,1261,342,200,[2],[4],play item,terminal conversion,"{""index"":2,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0024,False,,,,,,,,,,,,,
1,game_0025,False,,,,,,,,,,,,,
1,game_0026,False,,,,,,,,,,,,,
1,game_0027,True,action,100,100,1,1244,341,70,[11],[12],Ultra Ball: search line,terminal conversion,"{""index"":11,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0028,True,action,105,105,1,1261,380,170,[7],[9],evolve Bench Duraludon,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":1,""index"":7,""type"":9}","{""attackId"":253,""type"":13}"
1,game_0029,False,,,,,,,,,,,,,
1,game_0030,True,action,130,130,1,1244,342,130,[3],[6],play Explorer,terminal conversion,"{""index"":4,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0031,True,action,135,135,1,1244,342,130,[1],[3],play item,terminal conversion,"{""index"":3,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0032,False,,,,,,,,,,,,,
1,game_0033,True,action,151,151,1,1244,381,180,[2],[8],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":1,""index"":0,""type"":8}","{""attackId"":253,""type"":13}"
1,game_0034,False,,,,,,,,,,,,,
1,game_0035,False,,,,,,,,,,,,,
1,game_0036,False,,,,,,,,,,,,,
1,game_0037,False,,,,,,,,,,,,,
1,game_0038,True,action,96,96,1,1244,381,100,[7],[9],play Explorer,terminal conversion,"{""index"":8,""type"":7}","{""attackId"":224,""type"":13}"
1,game_0039,True,action,140,140,1,1244,381,120,[0],[3],play item,terminal conversion,"{""index"":1,""type"":7}","{""attackId"":253,""type"":13}"
