seat,game,diverged,kind,row,step,player,stadium_id,target_id,target_hp,baseline_action,candidate_action,baseline_reason,candidate_reason,baseline_option,candidate_option
1,game_0000,False,,,,,,,,,,,,,
1,game_0001,False,,,,,,,,,,,,,
1,game_0002,True,action,119,119,1,1244,305,70,[7],[15],play Full Metal Lab,terminal conversion,"{""index"":4,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0003,False,,,,,,,,,,,,,
1,game_0004,False,,,,,,,,,,,,,
1,game_0005,True,action,138,138,1,1244,648,200,[3],[5],play item,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0006,False,,,,,,,,,,,,,
1,game_0007,True,action,128,128,1,1244,646,70,[2],[11],play Full Metal Lab,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0008,False,,,,,,,,,,,,,
1,game_0009,True,action,112,112,1,1244,647,100,[3],[6],evolve Bench Duraludon,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":1,""index"":6,""type"":9}","{""attackId"":253,""type"":13}"
1,game_0010,True,action,114,114,1,1244,648,100,[5],[6],play item,terminal conversion,"{""index"":7,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0011,False,,,,,,,,,,,,,
1,game_0012,True,action,135,135,1,1244,648,200,[6],[8],play item,terminal conversion,"{""index"":2,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0013,True,action,102,102,1,,648,100,[2],[4],play Full Metal Lab,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0014,True,action,123,123,1,1244,648,100,[3],[4],play item,terminal conversion,"{""index"":3,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0015,False,,,,,,,,,,,,,
1,game_0016,False,,,,,,,,,,,,,
1,game_0017,False,,,,,,,,,,,,,
1,game_0018,True,action,116,116,1,,648,100,[0],[10],play item,terminal conversion,"{""index"":0,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0019,False,,,,,,,,,,,,,
1,game_0020,True,action,109,109,1,1244,648,100,[8],[9],play Pokemon,terminal conversion,"{""index"":9,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0021,False,,,,,,,,,,,,,
1,game_0022,True,action,137,137,1,1244,648,100,[5],[6],play Lillie,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0023,True,action,100,100,1,1244,647,100,[1],[3],play Explorer,terminal conversion,"{""index"":4,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0024,True,action,94,94,1,1244,648,100,[5],[6],play Lillie,terminal conversion,"{""index"":4,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0025,True,action,123,123,1,1244,647,100,[0],[7],evolve Bench Duraludon,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":1,""index"":0,""type"":9}","{""attackId"":253,""type"":13}"
1,game_0026,True,action,105,105,1,1244,648,100,[0],[1],Ultra Ball: bench empty (donk risk),terminal conversion,"{""index"":3,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0027,True,action,138,138,1,1244,646,70,[0],[8],play Lillie,terminal conversion,"{""index"":0,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0028,True,action,124,124,1,1244,112,110,[1],[9],evolve Bench Duraludon,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":1,""index"":1,""type"":9}","{""attackId"":253,""type"":13}"
1,game_0029,True,action,123,123,1,1244,649,70,[1],[3],play item,terminal conversion,"{""index"":7,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0030,True,action,106,106,1,1244,646,70,[2],[10],Ultra Ball: fuel Alloy,terminal conversion,"{""index"":2,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0031,True,action,103,103,1,1244,648,100,[1],[7],play item,terminal conversion,"{""index"":1,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0032,False,,,,,,,,,,,,,
1,game_0033,True,action,115,115,1,1244,648,100,[0],[5],play Explorer,terminal conversion,"{""index"":0,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0034,True,action,89,89,1,1244,112,110,[12],[15],play item,terminal conversion,"{""index"":10,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0035,True,action,158,158,1,1244,649,70,[6],[12],play item,terminal conversion,"{""index"":6,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0036,True,action,116,116,1,1244,646,70,[3],[12],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":3,""type"":8}","{""attackId"":253,""type"":13}"
1,game_0037,True,action,87,87,1,,648,100,[3],[6],Ultra Ball: bench empty (donk risk),terminal conversion,"{""index"":4,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0038,False,,,,,,,,,,,,,
1,game_0039,False,,,,,,,,,,,,,
