seat,game,diverged,kind,row,step,player,stadium_id,target_id,target_hp,baseline_action,candidate_action,baseline_reason,candidate_reason,baseline_option,candidate_option
0,game_0000,True,action,134,134,0,1244,860,70,[3],[5],evolve Bench Duraludon,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":2,""type"":9}","{""attackId"":253,""type"":13}"
0,game_0001,False,,,,,,,,,,,,,
0,game_0002,True,action,123,123,0,1244,648,100,[1],[5],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":0,""type"":8}","{""attackId"":253,""type"":13}"
0,game_0003,False,,,,,,,,,,,,,
0,game_0004,False,,,,,,,,,,,,,
0,game_0005,False,,,,,,,,,,,,,
0,game_0006,True,action,107,107,0,1244,648,100,[3],[5],play Explorer,terminal conversion,"{""index"":3,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0007,True,action,115,115,0,,648,100,[7],[9],play item,terminal conversion,"{""index"":10,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0008,False,,,,,,,,,,,,,
0,game_0009,True,action,135,135,0,1244,647,100,[2],[4],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":2,""type"":8}","{""attackId"":253,""type"":13}"
0,game_0010,True,action,111,111,0,1244,648,100,[4],[14],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":2,""type"":8}","{""attackId"":253,""type"":13}"
0,game_0011,False,,,,,,,,,,,,,
0,game_0012,False,,,,,,,,,,,,,
0,game_0013,False,,,,,,,,,,,,,
0,game_0014,True,action,144,144,0,1244,648,100,[3],[5],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":4,""type"":8}","{""attackId"":253,""type"":13}"
0,game_0015,True,action,157,157,0,1244,104,90,[2],[5],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":7,""type"":8}","{""attackId"":253,""type"":13}"
0,game_0016,False,,,,,,,,,,,,,
0,game_0017,True,action,133,133,0,1244,648,100,[4],[5],play item,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0018,False,,,,,,,,,,,,,
0,game_0019,False,,,,,,,,,,,,,
0,game_0020,False,,,,,,,,,,,,,
0,game_0021,True,action,115,115,0,1244,860,70,[5],[8],Hero's Cape on Archaludon ex,terminal conversion,"{""area"":2,""inPlayArea"":4,""inPlayIndex"":0,""index"":4,""type"":8}","{""attackId"":253,""type"":13}"
0,game_0022,False,,,,,,,,,,,,,
0,game_0023,False,,,,,,,,,,,,,
0,game_0024,False,,,,,,,,,,,,,
0,game_0025,False,,,,,,,,,,,,,
0,game_0026,True,action,127,127,0,1244,112,100,[4],[7],play item,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0027,False,,,,,,,,,,,,,
0,game_0028,True,action,158,158,0,1244,104,90,[4],[7],evolve Bench Duraludon,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":3,""type"":9}","{""attackId"":253,""type"":13}"
0,game_0029,False,,,,,,,,,,,,,
0,game_0030,True,action,109,109,0,,648,90,[8],[16],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":1,""index"":7,""type"":8}","{""attackId"":253,""type"":13}"
0,game_0031,True,action,113,113,0,1244,648,100,[1],[3],play item,terminal conversion,"{""index"":4,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0032,True,action,108,108,0,1244,104,90,[6],[10],play Full Metal Lab,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0033,False,,,,,,,,,,,,,
0,game_0034,True,action,103,103,0,1244,646,70,[0],[7],play Full Metal Lab,terminal conversion,"{""index"":1,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0035,False,,,,,,,,,,,,,
0,game_0036,True,action,107,107,0,1244,646,70,[0],[4],play Explorer,terminal conversion,"{""index"":0,""type"":7}","{""attackId"":253,""type"":13}"
0,game_0037,False,,,,,,,,,,,,,
0,game_0038,True,action,131,131,0,1244,112,110,[8],[12],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":2,""index"":4,""type"":8}","{""attackId"":253,""type"":13}"
0,game_0039,False,,,,,,,,,,,,,
