seat,game,diverged,kind,row,step,player,stadium_id,target_id,target_hp,baseline_action,candidate_action,baseline_reason,candidate_reason,baseline_option,candidate_option
1,game_0000,False,,,,,,,,,,,,,
1,game_0001,False,,,,,,,,,,,,,
1,game_0002,False,,,,,,,,,,,,,
1,game_0003,False,,,,,,,,,,,,,
1,game_0004,False,,,,,,,,,,,,,
1,game_0005,False,,,,,,,,,,,,,
1,game_0006,True,action,142,142,1,1244,190,110,[1],[3],Ultra Ball: bench empty (donk risk),terminal conversion,"{""index"":1,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0007,False,,,,,,,,,,,,,
1,game_0008,True,action,96,96,1,1244,169,130,[5],[6],play item,terminal conversion,"{""index"":4,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0009,False,,,,,,,,,,,,,
1,game_0010,True,action,74,74,1,1244,169,130,[9],[10],play item,terminal conversion,"{""index"":8,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0011,True,action,156,156,1,1244,169,130,[5],[6],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":2,""index"":3,""type"":8}","{""attackId"":253,""type"":13}"
1,game_0012,False,,,,,,,,,,,,,
1,game_0013,False,,,,,,,,,,,,,
1,game_0014,False,,,,,,,,,,,,,
1,game_0015,False,,,,,,,,,,,,,
1,game_0016,False,,,,,,,,,,,,,
1,game_0017,True,action,118,118,1,1244,190,110,[3],[4],play item,terminal conversion,"{""index"":7,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0018,False,,,,,,,,,,,,,
1,game_0019,False,,,,,,,,,,,,,
1,game_0020,False,,,,,,,,,,,,,
1,game_0021,False,,,,,,,,,,,,,
1,game_0022,False,,,,,,,,,,,,,
1,game_0023,False,,,,,,,,,,,,,
1,game_0024,False,,,,,,,,,,,,,
1,game_0025,True,action,145,145,1,1244,190,60,[3],[6],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":3,""type"":8}","{""attackId"":253,""type"":13}"
1,game_0026,False,,,,,,,,,,,,,
1,game_0027,False,,,,,,,,,,,,,
1,game_0028,False,,,,,,,,,,,,,
1,game_0029,False,,,,,,,,,,,,,
1,game_0030,False,,,,,,,,,,,,,
1,game_0031,False,,,,,,,,,,,,,
1,game_0032,False,,,,,,,,,,,,,
1,game_0033,False,,,,,,,,,,,,,
1,game_0034,False,,,,,,,,,,,,,
1,game_0035,True,action,143,143,1,1244,169,130,[2],[3],play item,terminal conversion,"{""index"":7,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0036,False,,,,,,,,,,,,,
1,game_0037,False,,,,,,,,,,,,,
1,game_0038,True,action,143,143,1,1244,190,100,[6],[7],play Pokemon,terminal conversion,"{""index"":7,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0039,False,,,,,,,,,,,,,
1,game_0040,False,,,,,,,,,,,,,
1,game_0041,True,action,100,100,1,1244,190,110,[0],[1],play Explorer,terminal conversion,"{""index"":0,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0042,False,,,,,,,,,,,,,
1,game_0043,False,,,,,,,,,,,,,
1,game_0044,False,,,,,,,,,,,,,
1,game_0045,False,,,,,,,,,,,,,
1,game_0046,False,,,,,,,,,,,,,
1,game_0047,False,,,,,,,,,,,,,
1,game_0048,False,,,,,,,,,,,,,
1,game_0049,True,action,108,108,1,1244,190,190,[1],[2],play item,terminal conversion,"{""index"":5,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0050,True,action,140,140,1,1244,190,190,[5],[6],evolve Bench Duraludon,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":5,""type"":9}","{""attackId"":253,""type"":13}"
1,game_0051,False,,,,,,,,,,,,,
1,game_0052,True,action,142,142,1,1244,169,130,[2],[3],play item,terminal conversion,"{""index"":6,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0053,False,,,,,,,,,,,,,
1,game_0054,False,,,,,,,,,,,,,
1,game_0055,False,,,,,,,,,,,,,
1,game_0056,False,,,,,,,,,,,,,
1,game_0057,False,,,,,,,,,,,,,
1,game_0058,False,,,,,,,,,,,,,
1,game_0059,False,,,,,,,,,,,,,
1,game_0060,False,,,,,,,,,,,,,
1,game_0061,False,,,,,,,,,,,,,
1,game_0062,True,action,139,139,1,1244,666,110,[7],[9],Ultra Ball: fuel Alloy,terminal conversion,"{""index"":7,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0063,False,,,,,,,,,,,,,
1,game_0064,False,,,,,,,,,,,,,
1,game_0065,False,,,,,,,,,,,,,
1,game_0066,False,,,,,,,,,,,,,
1,game_0067,False,,,,,,,,,,,,,
1,game_0068,False,,,,,,,,,,,,,
1,game_0069,False,,,,,,,,,,,,,
1,game_0070,False,,,,,,,,,,,,,
1,game_0071,False,,,,,,,,,,,,,
1,game_0072,False,,,,,,,,,,,,,
1,game_0073,False,,,,,,,,,,,,,
1,game_0074,False,,,,,,,,,,,,,
1,game_0075,False,,,,,,,,,,,,,
1,game_0076,False,,,,,,,,,,,,,
1,game_0077,True,action,127,127,1,1244,190,190,[7],[8],evolve Bench Duraludon,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":0,""index"":5,""type"":9}","{""attackId"":253,""type"":13}"
1,game_0078,False,,,,,,,,,,,,,
1,game_0079,False,,,,,,,,,,,,,
1,game_0080,False,,,,,,,,,,,,,
1,game_0081,False,,,,,,,,,,,,,
1,game_0082,False,,,,,,,,,,,,,
1,game_0083,True,action,101,101,1,1244,190,110,[4],[5],play item,terminal conversion,"{""index"":10,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0084,False,,,,,,,,,,,,,
1,game_0085,False,,,,,,,,,,,,,
1,game_0086,False,,,,,,,,,,,,,
1,game_0087,True,action,96,96,1,1244,190,110,[7],[11],Hero's Cape on Archaludon ex,terminal conversion,"{""area"":2,""inPlayArea"":4,""inPlayIndex"":0,""index"":8,""type"":8}","{""attackId"":253,""type"":13}"
1,game_0088,False,,,,,,,,,,,,,
1,game_0089,False,,,,,,,,,,,,,
1,game_0090,False,,,,,,,,,,,,,
1,game_0091,False,,,,,,,,,,,,,
1,game_0092,True,action,118,118,1,1244,190,190,[3],[4],play item,terminal conversion,"{""index"":6,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0093,False,,,,,,,,,,,,,
1,game_0094,False,,,,,,,,,,,,,
1,game_0095,True,action,150,150,1,1244,190,190,[4],[5],attach Metal,terminal conversion,"{""area"":2,""inPlayArea"":5,""inPlayIndex"":1,""index"":3,""type"":8}","{""attackId"":253,""type"":13}"
1,game_0096,False,,,,,,,,,,,,,
1,game_0097,True,action,135,135,1,1244,169,130,[0],[3],play item,terminal conversion,"{""index"":1,""type"":7}","{""attackId"":253,""type"":13}"
1,game_0098,False,,,,,,,,,,,,,
1,game_0099,False,,,,,,,,,,,,,
