candidate_archetype,exact_deck_hash,observed_games,unique_teams,unique_team_pairs,unique_dates,raw_result_rate,unit_equal_weight_result_rate,unit_equal_weight_aggregated_units,result_aggregation_basis,result_vs_marnie,result_vs_alakazam,result_vs_cynthia_garchomp,result_vs_rocket,result_vs_kangaskhan_crustle,worst_major_matchup_result,meta_weighted_major_matchup_result,meta_observed_only_renormalized_legacy,meta_unobserved_only_as_0_result,meta_unobserved_only_as_0_25_result,meta_unobserved_only_as_0_50_result,meta_loss_bound,meta_neutral_scenario,meta_win_bound,meta_observed_worst_fill,meta_scenario_width,meta_weight_coverage,meta_adequately_observed_weight,meta_low_sample_weight,meta_unobserved_weight,meta_uncertain_weight,meta_weight_basis,meta_weighted_interpretation,adequate_major_matchups,low_sample_major_matchups,unobserved_major_matchups,scenario_is_assumption,first_attack_turn,no_attack_turn_rate,second_attacker_ready_rate,second_attacker_ready_definition,second_attacker_ready_deprecated_for_selection,next_attacker_distance_lower_bound_coverage,next_attacker_distance_lower_bound_median,next_attacker_distance_certified_upper_bound_coverage,next_attacker_distance_certified_upper_bound_median,next_attacker_distance_known_coverage,next_attacker_distance_zero_rate_known,next_attacker_distance_le_1_rate_known,next_attacker_distance_le_2_rate_known,next_attacker_distance_3_plus_rate_known,next_attacker_distance_median_known,next_attacker_distance_mean_known,next_attacker_distance_unknown_rate,next_attacker_distance_model_version,next_attacker_distance_interpretation,opening_failure_rate,first_player_result,second_player_result,unknown_order_rate,exact_deck_variant_count,action_history_coverage,deck_legality_and_engine_certainty,runtime_evidence,card_effect_implementation_risk,rule_based_policy_complexity,observed_time_proxy,low_sample_flag,single_date_warning,single_team_dominance_warning,repeated_exact_deck_warning,dependence_warning,data_limitations
alakazam_psychic,4414e8995e50c7a00d4b6aa7d9229f63c1dff5261643ec7cd86c4e329113ed69,116,2,12,6,0.55172414,0.65560606,20,date+team_id+opponent_team_id+deck_hash+opponent_deck_hash,0.59691358,0.50000000,0.79797980,,,0.50000000,0.60844852,0.60844852,0.47185804,0.52798049,0.58410293,0.36981722,0.58410293,0.79838865,0.62563733,0.42857143,0.77551020,0.57142857,0.20408163,0.22448980,0.42857143,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_ONLY_RENORMALIZED_LEGACY_NOT_FULL_META_ESTIMATE,marnie_grimmsnarl|cynthia_garchomp,alakazam_psychic,rocket_mewtwo_spidops|kangaskhan_crustle,True,2.20175439,0.31278195,0.22807018,LEGACY_V1_ANY_BENCH_PRINTED_ATTACK_COST_READY,True,0.95614035,1.00000000,0.45614035,1.00000000,0.45614035,0.11538462,0.59615385,1.00000000,0.00000000,1.00000000,1.28846154,0.54385965,KNOWN_HAND_BOARD_SELF_ACTIONS_V1,PROVISIONAL_MODEL_SCOPE_NOT_SELECTION_GRADE,0.34482759,0.51666667,0.58928571,0.00000000,1,1.00000000,OBSERVED_60_CARDS=True;UNRESOLVED_CARD_IDS=0,RECORDED_ACTION_VALID;FALLBACK_UNKNOWN;INVALID_ACTION_UNKNOWN;TIMING_IS_APPROXIMATION,ALL_CARD_IDS_RESOLVED;EFFECT_BEARING_UNIQUE_CARDS=21,OBSERVED_MEDIAN_ROOT_SEMANTIC_COMPLETE_ACTIONS=7.00,0.20427625,False,False,True,True,SINGLE_TEAM_DOMINANCE|REPEATED_EXACT_DECK,PUBLIC_DAILY_TOP_SELECTED;DEPENDENT_REPEATED_TEAMS;NO_CAUSAL_ACTION_EFFECT
kangaskhan_crustle,47e017159a02045d19c8bf9e95b2d1084bfd9d8640292885b2f506fdd1cd3e05,3,1,3,1,0.33333333,0.33333333,3,date+team_id+opponent_team_id+deck_hash+opponent_deck_hash,,,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.19387755,0.38775510,0.00000000,0.50000000,1.00000000,,1.00000000,0.22448980,0.00000000,0.22448980,0.77551020,1.00000000,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_ONLY_RENORMALIZED_LEGACY_NOT_FULL_META_ESTIMATE,,rocket_mewtwo_spidops|kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp,True,2.66666667,0.63157895,0.33333333,LEGACY_V1_ANY_BENCH_PRINTED_ATTACK_COST_READY,True,0.33333333,4.00000000,0.00000000,,0.00000000,,,,,,,1.00000000,KNOWN_HAND_BOARD_SELF_ACTIONS_V1,PROVISIONAL_MODEL_SCOPE_NOT_SELECTION_GRADE,0.66666667,0.50000000,0.00000000,0.00000000,4,1.00000000,OBSERVED_60_CARDS=True;UNRESOLVED_CARD_IDS=0,RECORDED_ACTION_VALID;FALLBACK_UNKNOWN;INVALID_ACTION_UNKNOWN;TIMING_IS_APPROXIMATION,ALL_CARD_IDS_RESOLVED;EFFECT_BEARING_UNIQUE_CARDS=19,OBSERVED_MEDIAN_ROOT_SEMANTIC_COMPLETE_ACTIONS=10.00,0.05347513,True,True,True,True,SINGLE_DATE|SINGLE_TEAM_DOMINANCE|REPEATED_EXACT_DECK,PUBLIC_DAILY_TOP_SELECTED;DEPENDENT_REPEATED_TEAMS;NO_CAUSAL_ACTION_EFFECT
kangaskhan_crustle,76b7f090c528b45acb91b4a60d6787d8004321f87a812aa92013a3224b0b5719,1,1,1,1,1.00000000,1.00000000,1,date+team_id+opponent_team_id+deck_hash+opponent_deck_hash,,,,,1.00000000,1.00000000,1.00000000,1.00000000,0.08163265,0.31122449,0.54081633,0.00000000,0.50000000,1.00000000,,1.00000000,0.08163265,0.00000000,0.08163265,0.91836735,1.00000000,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_ONLY_RENORMALIZED_LEGACY_NOT_FULL_META_ESTIMATE,,kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops,True,5.00000000,0.40000000,0.00000000,LEGACY_V1_ANY_BENCH_PRINTED_ATTACK_COST_READY,True,1.00000000,2.00000000,0.00000000,,0.00000000,,,,,,,1.00000000,KNOWN_HAND_BOARD_SELF_ACTIONS_V1,PROVISIONAL_MODEL_SCOPE_NOT_SELECTION_GRADE,1.00000000,1.00000000,,0.00000000,4,1.00000000,OBSERVED_60_CARDS=True;UNRESOLVED_CARD_IDS=0,RECORDED_ACTION_VALID;FALLBACK_UNKNOWN;INVALID_ACTION_UNKNOWN;TIMING_IS_APPROXIMATION,ALL_CARD_IDS_RESOLVED;EFFECT_BEARING_UNIQUE_CARDS=21,OBSERVED_MEDIAN_ROOT_SEMANTIC_COMPLETE_ACTIONS=6.00,0.03698666,True,True,True,False,SINGLE_DATE|SINGLE_TEAM_DOMINANCE,PUBLIC_DAILY_TOP_SELECTED;DEPENDENT_REPEATED_TEAMS;NO_CAUSAL_ACTION_EFFECT
kangaskhan_crustle,97934924dd727dbc7acadc1f029b4ebffab8b06a2a47ab48a9193a1805c4c574,1,1,1,1,0.00000000,0.00000000,1,date+team_id+opponent_team_id+deck_hash+opponent_deck_hash,,,0.00000000,,,0.00000000,0.00000000,0.00000000,0.00000000,0.21428571,0.42857143,0.00000000,0.50000000,1.00000000,,1.00000000,0.14285714,0.00000000,0.14285714,0.85714286,1.00000000,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_ONLY_RENORMALIZED_LEGACY_NOT_FULL_META_ESTIMATE,,cynthia_garchomp,marnie_grimmsnarl|alakazam_psychic|rocket_mewtwo_spidops|kangaskhan_crustle,True,1.00000000,0.53846154,0.00000000,LEGACY_V1_ANY_BENCH_PRINTED_ATTACK_COST_READY,True,1.00000000,1.00000000,0.00000000,,0.00000000,,,,,,,1.00000000,KNOWN_HAND_BOARD_SELF_ACTIONS_V1,PROVISIONAL_MODEL_SCOPE_NOT_SELECTION_GRADE,0.00000000,,0.00000000,0.00000000,4,1.00000000,OBSERVED_60_CARDS=True;UNRESOLVED_CARD_IDS=0,RECORDED_ACTION_VALID;FALLBACK_UNKNOWN;INVALID_ACTION_UNKNOWN;TIMING_IS_APPROXIMATION,ALL_CARD_IDS_RESOLVED;EFFECT_BEARING_UNIQUE_CARDS=17,OBSERVED_MEDIAN_ROOT_SEMANTIC_COMPLETE_ACTIONS=5.00,0.05407336,True,True,True,False,SINGLE_DATE|SINGLE_TEAM_DOMINANCE,PUBLIC_DAILY_TOP_SELECTED;DEPENDENT_REPEATED_TEAMS;NO_CAUSAL_ACTION_EFFECT
kangaskhan_crustle,d9d823b6d4021728bd8676d61ff3f5018097a65cde99c3e3daa99f83db8432ef,3,1,2,1,0.66666667,0.75000000,2,date+team_id+opponent_team_id+deck_hash+opponent_deck_hash,0.75000000,,,,,0.75000000,0.75000000,0.75000000,0.32142857,0.46428571,0.60714286,0.00000000,0.50000000,1.00000000,,1.00000000,0.42857143,0.00000000,0.42857143,0.57142857,1.00000000,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_ONLY_RENORMALIZED_LEGACY_NOT_FULL_META_ESTIMATE,,marnie_grimmsnarl,alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops|kangaskhan_crustle,True,3.00000000,0.33333333,0.00000000,LEGACY_V1_ANY_BENCH_PRINTED_ATTACK_COST_READY,True,0.66666667,3.50000000,0.00000000,,0.00000000,,,,,,,1.00000000,KNOWN_HAND_BOARD_SELF_ACTIONS_V1,PROVISIONAL_MODEL_SCOPE_NOT_SELECTION_GRADE,1.00000000,0.66666667,,0.00000000,4,1.00000000,OBSERVED_60_CARDS=True;UNRESOLVED_CARD_IDS=0,RECORDED_ACTION_VALID;FALLBACK_UNKNOWN;INVALID_ACTION_UNKNOWN;TIMING_IS_APPROXIMATION,ALL_CARD_IDS_RESOLVED;EFFECT_BEARING_UNIQUE_CARDS=17,OBSERVED_MEDIAN_ROOT_SEMANTIC_COMPLETE_ACTIONS=6.00,0.33378296,True,True,True,True,SINGLE_DATE|SINGLE_TEAM_DOMINANCE|REPEATED_EXACT_DECK,PUBLIC_DAILY_TOP_SELECTED;DEPENDENT_REPEATED_TEAMS;NO_CAUSAL_ACTION_EFFECT
marnie_grimmsnarl,4194e1d86dc0188c5bff8f2bb73dc4351aed38f266335934abbe58b9cddbf6b3,354,8,29,7,0.53672316,0.53024266,49,date+team_id+opponent_team_id+deck_hash+opponent_deck_hash,0.53043478,0.43263889,0.41179654,0.76428571,0.25000000,0.25000000,0.50404276,0.50404276,0.50404276,0.50404276,0.50404276,0.48363459,0.52445092,0.56526725,0.51725064,0.08163265,1.00000000,0.91836735,0.08163265,0.00000000,0.08163265,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_ONLY_RENORMALIZED_LEGACY_NOT_FULL_META_ESTIMATE,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops,kangaskhan_crustle,,True,2.45454545,0.34570998,0.73863636,LEGACY_V1_ANY_BENCH_PRINTED_ATTACK_COST_READY,True,0.93181818,1.00000000,0.25568182,1.00000000,0.24147727,0.25882353,0.96470588,0.98823529,0.01176471,1.00000000,0.78823529,0.75852273,KNOWN_HAND_BOARD_SELF_ACTIONS_V1,PROVISIONAL_MODEL_SCOPE_NOT_SELECTION_GRADE,0.41525424,0.52873563,0.54444444,0.00000000,3,1.00000000,OBSERVED_60_CARDS=True;UNRESOLVED_CARD_IDS=0,RECORDED_ACTION_VALID;FALLBACK_UNKNOWN;INVALID_ACTION_UNKNOWN;TIMING_IS_APPROXIMATION,ALL_CARD_IDS_RESOLVED;EFFECT_BEARING_UNIQUE_CARDS=18,OBSERVED_MEDIAN_ROOT_SEMANTIC_COMPLETE_ACTIONS=5.00,0.26338522,False,False,True,True,SINGLE_TEAM_DOMINANCE|REPEATED_EXACT_DECK,PUBLIC_DAILY_TOP_SELECTED;DEPENDENT_REPEATED_TEAMS;NO_CAUSAL_ACTION_EFFECT
marnie_grimmsnarl,41bdf9d5d3c36ee70007a5d4967839bf960feb66a8f7e3c77ad73bfec973c061,32,3,7,3,0.46875000,0.36666667,7,date+team_id+opponent_team_id+deck_hash+opponent_deck_hash,0.40000000,0.16666667,0.33333333,0.60000000,,0.16666667,0.36888889,0.36888889,0.33877551,0.35918367,0.37959184,0.04761905,0.47619048,0.90476190,0.33333333,0.85714286,0.91836735,0.14285714,0.77551020,0.08163265,0.85714286,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_ONLY_RENORMALIZED_LEGACY_NOT_FULL_META_ESTIMATE,cynthia_garchomp,marnie_grimmsnarl|alakazam_psychic|rocket_mewtwo_spidops,kangaskhan_crustle,True,2.46875000,0.41916168,0.68750000,LEGACY_V1_ANY_BENCH_PRINTED_ATTACK_COST_READY,True,0.93750000,1.00000000,0.37500000,1.00000000,0.37500000,0.25000000,0.91666667,1.00000000,0.00000000,1.00000000,0.83333333,0.62500000,KNOWN_HAND_BOARD_SELF_ACTIONS_V1,PROVISIONAL_MODEL_SCOPE_NOT_SELECTION_GRADE,0.46875000,0.47058824,0.46666667,0.00000000,3,1.00000000,OBSERVED_60_CARDS=True;UNRESOLVED_CARD_IDS=0,RECORDED_ACTION_VALID;FALLBACK_UNKNOWN;INVALID_ACTION_UNKNOWN;TIMING_IS_APPROXIMATION,ALL_CARD_IDS_RESOLVED;EFFECT_BEARING_UNIQUE_CARDS=17,OBSERVED_MEDIAN_ROOT_SEMANTIC_COMPLETE_ACTIONS=6.00,0.08177629,False,False,True,True,SINGLE_TEAM_DOMINANCE|REPEATED_EXACT_DECK,PUBLIC_DAILY_TOP_SELECTED;DEPENDENT_REPEATED_TEAMS;NO_CAUSAL_ACTION_EFFECT
marnie_grimmsnarl,844bf7ad54baf1fa12555e1c75076f24b7becdf8d6b5470ef758b101a7177181,2,1,1,1,0.00000000,0.00000000,1,date+team_id+opponent_team_id+deck_hash+opponent_deck_hash,0.00000000,,,,,0.00000000,0.00000000,0.00000000,0.00000000,0.14285714,0.28571429,0.00000000,0.50000000,1.00000000,,1.00000000,0.42857143,0.00000000,0.42857143,0.57142857,1.00000000,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_ONLY_RENORMALIZED_LEGACY_NOT_FULL_META_ESTIMATE,,marnie_grimmsnarl,alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops|kangaskhan_crustle,True,2.00000000,0.33333333,1.00000000,LEGACY_V1_ANY_BENCH_PRINTED_ATTACK_COST_READY,True,1.00000000,2.00000000,0.00000000,,0.00000000,,,,,,,1.00000000,KNOWN_HAND_BOARD_SELF_ACTIONS_V1,PROVISIONAL_MODEL_SCOPE_NOT_SELECTION_GRADE,0.00000000,,0.00000000,0.00000000,3,1.00000000,OBSERVED_60_CARDS=True;UNRESOLVED_CARD_IDS=0,RECORDED_ACTION_VALID;FALLBACK_UNKNOWN;INVALID_ACTION_UNKNOWN;TIMING_IS_APPROXIMATION,ALL_CARD_IDS_RESOLVED;EFFECT_BEARING_UNIQUE_CARDS=18,OBSERVED_MEDIAN_ROOT_SEMANTIC_COMPLETE_ACTIONS=6.00,0.04363739,True,True,True,True,SINGLE_DATE|SINGLE_TEAM_DOMINANCE|REPEATED_EXACT_DECK,PUBLIC_DAILY_TOP_SELECTED;DEPENDENT_REPEATED_TEAMS;NO_CAUSAL_ACTION_EFFECT
rocket_mewtwo_spidops,08cdc986c1077da2e1bd5563b7759e7183aa0abee20dd68bf668406195b945f4,2,1,1,1,0.50000000,0.50000000,1,date+team_id+opponent_team_id+deck_hash+opponent_deck_hash,0.50000000,,,,,0.50000000,0.50000000,0.50000000,0.21428571,0.35714286,0.50000000,0.00000000,0.50000000,1.00000000,,1.00000000,0.42857143,0.00000000,0.42857143,0.57142857,1.00000000,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_ONLY_RENORMALIZED_LEGACY_NOT_FULL_META_ESTIMATE,,marnie_grimmsnarl,alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops|kangaskhan_crustle,True,3.00000000,0.70000000,0.00000000,LEGACY_V1_ANY_BENCH_PRINTED_ATTACK_COST_READY,True,1.00000000,2.00000000,0.00000000,,0.00000000,,,,,,,1.00000000,KNOWN_HAND_BOARD_SELF_ACTIONS_V1,PROVISIONAL_MODEL_SCOPE_NOT_SELECTION_GRADE,1.00000000,0.50000000,,0.00000000,5,1.00000000,OBSERVED_60_CARDS=True;UNRESOLVED_CARD_IDS=0,RECORDED_ACTION_VALID;FALLBACK_UNKNOWN;INVALID_ACTION_UNKNOWN;TIMING_IS_APPROXIMATION,ALL_CARD_IDS_RESOLVED;EFFECT_BEARING_UNIQUE_CARDS=21,OBSERVED_MEDIAN_ROOT_SEMANTIC_COMPLETE_ACTIONS=6.00,0.07891032,True,True,True,True,SINGLE_DATE|SINGLE_TEAM_DOMINANCE|REPEATED_EXACT_DECK,PUBLIC_DAILY_TOP_SELECTED;DEPENDENT_REPEATED_TEAMS;NO_CAUSAL_ACTION_EFFECT
rocket_mewtwo_spidops,0eae05da298f9c733b58c3800362e43a58fdfb8082a62e263b2590df17530dbb,2,1,2,1,1.00000000,1.00000000,2,date+team_id+opponent_team_id+deck_hash+opponent_deck_hash,,,,,1.00000000,1.00000000,1.00000000,1.00000000,0.08163265,0.31122449,0.54081633,0.00000000,0.50000000,1.00000000,,1.00000000,0.08163265,0.00000000,0.08163265,0.91836735,1.00000000,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_ONLY_RENORMALIZED_LEGACY_NOT_FULL_META_ESTIMATE,,kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops,True,2.00000000,0.18181818,0.00000000,LEGACY_V1_ANY_BENCH_PRINTED_ATTACK_COST_READY,True,0.50000000,3.00000000,0.00000000,,0.00000000,,,,,,,1.00000000,KNOWN_HAND_BOARD_SELF_ACTIONS_V1,PROVISIONAL_MODEL_SCOPE_NOT_SELECTION_GRADE,0.00000000,1.00000000,1.00000000,0.00000000,5,1.00000000,OBSERVED_60_CARDS=True;UNRESOLVED_CARD_IDS=0,RECORDED_ACTION_VALID;FALLBACK_UNKNOWN;INVALID_ACTION_UNKNOWN;TIMING_IS_APPROXIMATION,ALL_CARD_IDS_RESOLVED;EFFECT_BEARING_UNIQUE_CARDS=19,OBSERVED_MEDIAN_ROOT_SEMANTIC_COMPLETE_ACTIONS=7.00,0.20030965,True,True,True,True,SINGLE_DATE|SINGLE_TEAM_DOMINANCE|REPEATED_EXACT_DECK,PUBLIC_DAILY_TOP_SELECTED;DEPENDENT_REPEATED_TEAMS;NO_CAUSAL_ACTION_EFFECT
