archetype,card_id,card_name,card_type,min_count,max_count,present_variant_count,total_variant_count,classification,estimated_role
rocket_mewtwo_spidops,1,Basic {G} Energy,5,7,9,5,5,COMMON_VARIABLE,BASIC_ENERGY
rocket_mewtwo_spidops,5,Basic {P} Energy,5,0,3,1,5,VARIANT_ONLY,BASIC_ENERGY
rocket_mewtwo_spidops,15,Team Rocket's Energy,6,4,4,5,5,COMMON_FIXED,SPECIAL_ENERGY
rocket_mewtwo_spidops,400,Team Rocket's Tarountula,0,4,4,5,5,COMMON_FIXED,BASIC_POKEMON_ATTACKER_OR_SETUP
rocket_mewtwo_spidops,401,Team Rocket's Spidops,0,4,4,5,5,COMMON_FIXED,STAGE1_ABILITY_POKEMON
rocket_mewtwo_spidops,414,Team Rocket's Articuno,0,2,2,5,5,COMMON_FIXED,BASIC_ABILITY_POKEMON
rocket_mewtwo_spidops,431,Team Rocket's Mewtwo ex,0,2,2,5,5,COMMON_FIXED,BASIC_POKEMON_EX_ATTACKER
rocket_mewtwo_spidops,432,Team Rocket's Wobbuffet,0,0,1,1,5,VARIANT_ONLY,BASIC_POKEMON_ATTACKER_OR_SETUP
rocket_mewtwo_spidops,434,Team Rocket's Mimikyu,0,0,3,4,5,OPTIONAL_SHARED,BASIC_POKEMON_ATTACKER_OR_SETUP
rocket_mewtwo_spidops,463,Team Rocket's Murkrow,0,0,2,1,5,VARIANT_ONLY,BASIC_POKEMON_ATTACKER_OR_SETUP
rocket_mewtwo_spidops,1086,Buddy-Buddy Poffin,1,0,1,3,5,OPTIONAL_SHARED,ITEM_SEARCH_OR_DRAW
rocket_mewtwo_spidops,1094,Bug Catching Set,1,3,4,5,5,COMMON_VARIABLE,ITEM_SEARCH_OR_DRAW
rocket_mewtwo_spidops,1097,Night Stretcher,1,0,2,3,5,OPTIONAL_SHARED,ITEM_RESOURCE_OR_RECOVERY
rocket_mewtwo_spidops,1116,Energy Switch,1,0,1,1,5,VARIANT_ONLY,ITEM_RESOURCE_OR_RECOVERY
rocket_mewtwo_spidops,1119,Energy Search,1,0,2,1,5,VARIANT_ONLY,ITEM_SEARCH_OR_DRAW
rocket_mewtwo_spidops,1121,Ultra Ball,1,0,2,4,5,OPTIONAL_SHARED,ITEM_SEARCH_OR_DRAW
rocket_mewtwo_spidops,1134,Team Rocket's Transceiver,1,4,4,5,5,COMMON_FIXED,ITEM_SEARCH_OR_DRAW
rocket_mewtwo_spidops,1152,Poké Pad,1,4,4,5,5,COMMON_FIXED,ITEM_SEARCH_OR_DRAW
rocket_mewtwo_spidops,1159,Hero’s Cape,2,1,1,5,5,COMMON_FIXED,POKEMON_TOOL
rocket_mewtwo_spidops,1175,Brave Bangle,2,1,2,5,5,COMMON_VARIABLE,POKEMON_TOOL
rocket_mewtwo_spidops,1216,Team Rocket's Ariana,3,4,4,5,5,COMMON_FIXED,SUPPORTER_DRAW_OR_SEARCH
rocket_mewtwo_spidops,1217,Team Rocket's Archer,3,0,1,3,5,OPTIONAL_SHARED,SUPPORTER_DRAW_OR_SEARCH
rocket_mewtwo_spidops,1218,Team Rocket's Giovanni,3,2,3,5,5,COMMON_VARIABLE,SUPPORTER_DISRUPTION_OR_GUST
rocket_mewtwo_spidops,1219,Team Rocket's Petrel,3,0,1,3,5,OPTIONAL_SHARED,SUPPORTER_DRAW_OR_SEARCH
