candidate_archetype,exact_deck_hash,scenario,assumed_uncertain_result,major_meta_weight_total,adequately_observed_weight,low_sample_weight,unobserved_weight,uncertain_weight,adequate_observed_contribution,observed_all_weight,observed_all_contribution,scenario_result,scenario_is_assumption,adequate_major_matchups,low_sample_major_matchups,unobserved_major_matchups,meta_weight_basis,interpretation
alakazam_psychic,4414e8995e50c7a00d4b6aa7d9229f63c1dff5261643ec7cd86c4e329113ed69,UNOBSERVED_ONLY_AS_0,0.00000000,1.00000000,0.57142857,0.20408163,0.22448980,0.42857143,0.36981722,0.77551020,0.47185804,0.47185804,True,marnie_grimmsnarl|cynthia_garchomp,alakazam_psychic,rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
alakazam_psychic,4414e8995e50c7a00d4b6aa7d9229f63c1dff5261643ec7cd86c4e329113ed69,UNOBSERVED_ONLY_AS_0_25,0.25000000,1.00000000,0.57142857,0.20408163,0.22448980,0.42857143,0.36981722,0.77551020,0.47185804,0.52798049,True,marnie_grimmsnarl|cynthia_garchomp,alakazam_psychic,rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
alakazam_psychic,4414e8995e50c7a00d4b6aa7d9229f63c1dff5261643ec7cd86c4e329113ed69,UNOBSERVED_ONLY_AS_0_50,0.50000000,1.00000000,0.57142857,0.20408163,0.22448980,0.42857143,0.36981722,0.77551020,0.47185804,0.58410293,True,marnie_grimmsnarl|cynthia_garchomp,alakazam_psychic,rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
alakazam_psychic,4414e8995e50c7a00d4b6aa7d9229f63c1dff5261643ec7cd86c4e329113ed69,UNCERTAIN_AS_0,0.00000000,1.00000000,0.57142857,0.20408163,0.22448980,0.42857143,0.36981722,0.77551020,0.47185804,0.36981722,True,marnie_grimmsnarl|cynthia_garchomp,alakazam_psychic,rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
alakazam_psychic,4414e8995e50c7a00d4b6aa7d9229f63c1dff5261643ec7cd86c4e329113ed69,UNCERTAIN_AS_0_25,0.25000000,1.00000000,0.57142857,0.20408163,0.22448980,0.42857143,0.36981722,0.77551020,0.47185804,0.47696008,True,marnie_grimmsnarl|cynthia_garchomp,alakazam_psychic,rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
alakazam_psychic,4414e8995e50c7a00d4b6aa7d9229f63c1dff5261643ec7cd86c4e329113ed69,UNCERTAIN_AS_0_50,0.50000000,1.00000000,0.57142857,0.20408163,0.22448980,0.42857143,0.36981722,0.77551020,0.47185804,0.58410293,True,marnie_grimmsnarl|cynthia_garchomp,alakazam_psychic,rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
alakazam_psychic,4414e8995e50c7a00d4b6aa7d9229f63c1dff5261643ec7cd86c4e329113ed69,UNCERTAIN_AS_1,1.00000000,1.00000000,0.57142857,0.20408163,0.22448980,0.42857143,0.36981722,0.77551020,0.47185804,0.79838865,True,marnie_grimmsnarl|cynthia_garchomp,alakazam_psychic,rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
alakazam_psychic,4414e8995e50c7a00d4b6aa7d9229f63c1dff5261643ec7cd86c4e329113ed69,OBSERVED_WORST_FILL,0.59691358,1.00000000,0.57142857,0.20408163,0.22448980,0.42857143,0.36981722,0.77551020,0.47185804,0.62563733,True,marnie_grimmsnarl|cynthia_garchomp,alakazam_psychic,rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
alakazam_psychic,4414e8995e50c7a00d4b6aa7d9229f63c1dff5261643ec7cd86c4e329113ed69,OBSERVED_ONLY_RENORMALIZED_LEGACY,,1.00000000,0.57142857,0.20408163,0.22448980,0.42857143,0.36981722,0.77551020,0.47185804,0.60844852,False,marnie_grimmsnarl|cynthia_garchomp,alakazam_psychic,rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_CELLS_ONLY_RENORMALIZED_NOT_FULL_META_ESTIMATE
kangaskhan_crustle,47e017159a02045d19c8bf9e95b2d1084bfd9d8640292885b2f506fdd1cd3e05,UNOBSERVED_ONLY_AS_0,0.00000000,1.00000000,0.00000000,0.22448980,0.77551020,1.00000000,0.00000000,0.22448980,0.00000000,0.00000000,True,,rocket_mewtwo_spidops|kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
