population,unit,archetype,count,denominator,share
daily_top50_avg_score_2026-07-19_to_2026-07-25,episode_seat_appearances,marnie_grimmsnarl,388,700,0.55428571
daily_top50_avg_score_2026-07-19_to_2026-07-25,episode_seat_appearances,alakazam_psychic,116,700,0.16571429
daily_top50_avg_score_2026-07-19_to_2026-07-25,episode_seat_appearances,cynthia_garchomp,109,700,0.15571429
daily_top50_avg_score_2026-07-19_to_2026-07-25,episode_seat_appearances,rocket_mewtwo_spidops,62,700,0.08857143
daily_top50_avg_score_2026-07-19_to_2026-07-25,episode_seat_appearances,festival_lead_dipplin,9,700,0.01285714
daily_top50_avg_score_2026-07-19_to_2026-07-25,episode_seat_appearances,dragapult,8,700,0.01142857
daily_top50_avg_score_2026-07-19_to_2026-07-25,episode_seat_appearances,kangaskhan_crustle,8,700,0.01142857
daily_top50_avg_score_2026-07-19_to_2026-07-25,team_day_modal,marnie_grimmsnarl,21,53,0.39622642
daily_top50_avg_score_2026-07-19_to_2026-07-25,team_day_modal,alakazam_psychic,10,53,0.18867925
daily_top50_avg_score_2026-07-19_to_2026-07-25,team_day_modal,cynthia_garchomp,7,53,0.13207547
daily_top50_avg_score_2026-07-19_to_2026-07-25,team_day_modal,rocket_mewtwo_spidops,6,53,0.11320755
daily_top50_avg_score_2026-07-19_to_2026-07-25,team_day_modal,kangaskhan_crustle,4,53,0.07547170
daily_top50_avg_score_2026-07-19_to_2026-07-25,team_day_modal,dragapult,3,53,0.05660377
daily_top50_avg_score_2026-07-19_to_2026-07-25,team_day_modal,festival_lead_dipplin,2,53,0.03773585
daily_top50_avg_score_2026-07-19_to_2026-07-25,latest_observed_team_modal,marnie_grimmsnarl,10,23,0.43478261
daily_top50_avg_score_2026-07-19_to_2026-07-25,latest_observed_team_modal,kangaskhan_crustle,4,23,0.17391304
daily_top50_avg_score_2026-07-19_to_2026-07-25,latest_observed_team_modal,alakazam_psychic,2,23,0.08695652
daily_top50_avg_score_2026-07-19_to_2026-07-25,latest_observed_team_modal,cynthia_garchomp,2,23,0.08695652
daily_top50_avg_score_2026-07-19_to_2026-07-25,latest_observed_team_modal,festival_lead_dipplin,2,23,0.08695652
daily_top50_avg_score_2026-07-19_to_2026-07-25,latest_observed_team_modal,rocket_mewtwo_spidops,2,23,0.08695652
daily_top50_avg_score_2026-07-19_to_2026-07-25,latest_observed_team_modal,dragapult,1,23,0.04347826
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_team_exact_deck,marnie_grimmsnarl,12,28,0.42857143
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_team_exact_deck,rocket_mewtwo_spidops,5,28,0.17857143
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_team_exact_deck,kangaskhan_crustle,4,28,0.14285714
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_team_exact_deck,alakazam_psychic,2,28,0.07142857
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_team_exact_deck,cynthia_garchomp,2,28,0.07142857
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_team_exact_deck,festival_lead_dipplin,2,28,0.07142857
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_team_exact_deck,dragapult,1,28,0.03571429
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_exact_deck,rocket_mewtwo_spidops,5,17,0.29411765
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_exact_deck,kangaskhan_crustle,4,17,0.23529412
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_exact_deck,marnie_grimmsnarl,3,17,0.17647059
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_exact_deck,festival_lead_dipplin,2,17,0.11764706
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_exact_deck,alakazam_psychic,1,17,0.05882353
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_exact_deck,cynthia_garchomp,1,17,0.05882353
daily_top50_avg_score_2026-07-19_to_2026-07-25,unique_exact_deck,dragapult,1,17,0.05882353
