date,selection,unit,archetype,count,denominator,share
2026-07-25,top100_avg_score,episode_seat_appearance,marnie_grimmsnarl,110,200,0.55000000
2026-07-25,top100_avg_score,episode_seat_appearance,alakazam_psychic,44,200,0.22000000
2026-07-25,top100_avg_score,episode_seat_appearance,rocket_mewtwo_spidops,25,200,0.12500000
2026-07-25,top100_avg_score,episode_seat_appearance,kangaskhan_crustle,13,200,0.06500000
2026-07-25,top100_avg_score,episode_seat_appearance,festival_lead_dipplin,5,200,0.02500000
2026-07-25,top100_avg_score,episode_seat_appearance,cynthia_garchomp,3,200,0.01500000
2026-07-25,top100_min_score,episode_seat_appearance,marnie_grimmsnarl,93,200,0.46500000
2026-07-25,top100_min_score,episode_seat_appearance,alakazam_psychic,53,200,0.26500000
2026-07-25,top100_min_score,episode_seat_appearance,rocket_mewtwo_spidops,20,200,0.10000000
2026-07-25,top100_min_score,episode_seat_appearance,kangaskhan_crustle,17,200,0.08500000
2026-07-25,top100_min_score,episode_seat_appearance,festival_lead_dipplin,9,200,0.04500000
2026-07-25,top100_min_score,episode_seat_appearance,cynthia_garchomp,8,200,0.04000000
